,part number,serial number,start,end,MTBF,MTBUR,value,defect_20h
334300,144056286,39,2019-01-01,,2866,1691,10.2,4.691917050558825e-05
334300,144056286,39,2019-01-01,,4778,2819,10.2,2.719106012227801e-05
334919,144446152,72516,2019-01-01,,344,202,204.3,0.04319863606726748
334922,145431657,100098,2019-01-01,,344,202,0.0,0.0005360135027934199
344200-01,10092872,2282FAUX_SN042,2019-01-01,,9556,5638,2851.0,0.00021884663060972587
344200-02,144695406,115,2019-01-01,,668,394,1634.72,3.2046273684693816e-07
345100-01,144628053,2282FAUX_SN108,2019-01-01,,649,383,2851.0,0.0
346000-01,145662541,2282FAUX_SN109,2019-01-01,,9556,5638,2851.0,0.00021884663060972587
391213-11,145362748,1082476,2019-01-01,,920,542,10.2,0.00017531181323920952
391213-12,145362748,1069287,2019-01-01,,920,542,10.2,0.00017531181323920952
39121301,145436170,1682,2019-01-01,,817,482,10.2,0.00020418293999546755
39121302,145436170,1669,2019-01-01,,817,482,10.2,0.00020418293999546755
39121303,145436170,1677,2019-01-01,,817,482,10.2,0.00020418293999546755
39121304,145436170,1667,2019-01-01,,817,482,10.2,0.00020418293999546755
475001,145754546,2282FAUX_SN009,2019-01-01,,955,563,2851.0,7.919553901558629e-12
475002,145754547,2282FAUX_SN008,2019-01-01,,955,563,2851.0,7.919553901558629e-12
5340_01,143010908,S742,2019-01-01,,9556,5638,10.2,1.3249114775126802e-05
5340_02,143010909,S2735,2019-01-01,,9556,5638,10.2,1.3249114775126802e-05
5340_03,143010910,S2661,2019-01-01,,9556,5638,10.2,1.3249114775126802e-05
551010,144352867,2282FAUX_SN001,2019-01-01,,2049,1209,2851.0,0.006481814910748285
62101,144352864,1647,2019-01-01,,363,214,10.2,0.0006685237808305988
62102,144352864,2282FAUX_SN002,2019-01-01,,363,214,2851.0,0.0
62103,144352864,2282FAUX_SN003,2019-01-01,,363,214,2851.0,0.0
62104,144352864,1661,2019-01-01,,363,214,10.2,0.0006685237808305988
623501,144336955,M638,2019-01-01,,1337,789,165.3,0.00036566140452037876
6235011,143025495,2282FAUX_SN075,2019-01-01,,3363,1984,2851.0,0.008393289573604606
6235012,143025495,2282FAUX_SN076,2019-01-01,,3363,1984,2851.0,0.008393289573604606
6235013,143025495,2282FAUX_SN077,2019-01-01,,3363,1984,2851.0,0.008393289573604606
6235014,143025495,2282FAUX_SN078,2019-01-01,,3363,1984,2851.0,0.008393289573604606
62350151,144162149,2282FAUX_SN079,2019-01-01,,666,392,2851.0,0.0
