,part number,serial number,start,end,MTBF,MTBUR,value,defect_20h
2820-01,144181954,2273FAUX_SN064,2019-01-01,,4051,2390,21.4,3.33720087454803e-05
2820-02,144181954,2273FAUX_SN065,2019-01-01,,4051,2390,21.4,3.33720087454803e-05
2820-02,144181954,2273FAUX_SN065,2019-01-01,,4051,2390,21.4,3.33720087454803e-05
2820-05,140400636,2273FAUX_SN066,2019-01-01,,2203,1300,21.4,6.623340963030078e-05
291011,144820339,2273FAUX_SN152,2019-01-01,,683,403,21.4,0.000308518580687811
291012,144820338,2273FAUX_SN153,2019-01-01,,683,403,21.4,0.000308518580687811
291020,144472752,2273FAUX_SN149,2019-01-01,,742,438,21.4,0.0002723271219196022
291021,144472750,2273FAUX_SN150,2019-01-01,,742,438,21.4,0.0002723271219196022
292010,145512469,2273FAUX_SN151,2019-01-01,,586,346,21.4,0.00039223099936025463
2920101,144417072,2273FAUX_SN154,2019-01-01,,614,362,21.4,0.00036406447875619863
2920101,144417072,2273FAUX_SN154,2019-01-01,,614,362,21.4,0.00036406447875619863
2920101,144417072,2273FAUX_SN154,2019-01-01,,614,362,21.4,0.00036406447875619863
2920101,144417072,2273FAUX_SN154,2019-01-01,,614,362,21.4,0.00036406447875619863
302000-01,144336890,2273FAUX_SN067,2019-01-01,,2862,1689,21.4,4.9057825725451476e-05
302000-02,144336890,2273FAUX_SN068,2019-01-01,,2862,1689,21.4,4.9057825725451476e-05
306001-01,144229459,2273FAUX_SN009,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
306002-01,144401787,TB2129,2019-01-01,,2475,1460,67.6,7.088520374654017e-05
306002-02,144401786,TB2715,2019-01-01,,2475,1460,98.9,8.11385741891768e-05
306002-03,144401786,TB2701,2019-01-01,,7167,4228,98.9,2.04187006400125e-05
306002-04,144401787,TB2076,2019-01-01,,2475,1460,102.0,8.22235673908489e-05
306003-01,144401785,2273FAUX_SN011,2019-01-01,,2475,1460,21.4,5.78820147041359e-05
306003-02,144401785,TB5231,2019-01-01,,2475,1460,311.6,0.00019386215814232166
306003-03,144401785,TB5201,2019-01-01,,2475,1460,311.6,0.00019386215814232166
306003-04,144401785,TB5211,2019-01-01,,2475,1460,311.6,0.00019386215814232166
306003-05,144401785,TB5196,2019-01-01,,2475,1460,311.6,0.00019386215814232166
306004,144723502,2273FAUX_SN010,2019-01-01,,1911,1127,21.4,7.832536311397353e-05
3160-01,145828816,FA6021-544,2019-01-01,,697,411,122.4,0.001231054584588831
321201-01,144023746,2273FAUX_SN069,2019-01-01,,1051,620,21.4,0.00016655230241552355
321201-02,144023747,2273FAUX_SN070,2019-01-01,,1051,620,21.4,0.00016655230241552355
321202-01,144112543,2273FAUX_SN071,2019-01-01,,1653,975,21.4,9.330545569613546e-05
321202-02,144181902,2273FAUX_SN072,2019-01-01,,1653,975,21.4,9.330545569613546e-05
322200-01,144181900,2273FAUX_SN073,2019-01-01,,279,164,21.4,0.0015847534846445965
322200-02,144181901,2273FAUX_SN074,2019-01-01,,1653,975,21.4,9.330545569613546e-05
324001-01,144001893,F1616,2019-01-01,,248,146,106.0,0.028210498476948842
324001-02,144001893,U560,2019-01-01,,248,146,36.0,0.0035643533119059656
324002-01,144181899,01121,2019-01-01,,248,146,36.0,0.0035643533119059656
324002-02,144181899,02156,2019-01-01,,248,146,36.0,0.0035643533119059656
334300,144056286,2273FAUX_SN001,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
334300,144056286,2273FAUX_SN001,2019-01-01,,4778,2819,21.4,2.7904316841964594e-05
334919,144446152,2273FAUX_SN002,2019-01-01,,344,202,21.4,0.001019311077613494
334922,145431657,100138,2019-01-01,,344,202,6.4,0.0006525336695136219
344200-01,10092872,2273FAUX_SN056,2019-01-01,,9556,5638,21.4,1.3422272177376904e-05
344200-02,144695406,2273FAUX_SN057,2019-01-01,,668,394,21.4,0.0003191964627329291
345100-01,144628053,2273FAUX_SN155,2019-01-01,,649,383,21.4,0.0003337530255548282
346000-01,145662541,2273FAUX_SN156,2019-01-01,,9556,5638,21.4,1.3422272177376904e-05
391213-11,145362748,2273FAUX_SN016,2019-01-01,,920,542,21.4,0.0001998689643545326
391213-12,145362748,2273FAUX_SN017,2019-01-01,,920,542,21.4,0.0001998689643545326
39121301,145436170,2273FAUX_SN012,2019-01-01,,817,482,21.4,0.00023652049552402854
39121302,145436170,2273FAUX_SN013,2019-01-01,,817,482,21.4,0.00023652049552402854
39121303,145436170,2273FAUX_SN014,2019-01-01,,817,482,21.4,0.00023652049552402854
39121304,145436170,2273FAUX_SN015,2019-01-01,,817,482,21.4,0.00023652049552402854
475001,145754546,F0107,2019-01-01,,955,563,0.0,0.00014885061113256715
475002,145754547,E0141,2019-01-01,,955,563,0.0,0.00014885061113256715
5340_01,143010908,2273FAUX_SN075,2019-01-01,,9556,5638,21.4,1.3422272177376904e-05
5340_02,143010909,2273FAUX_SN076,2019-01-01,,9556,5638,21.4,1.3422272177376904e-05
5340_03,143010910,2273FAUX_SN077,2019-01-01,,9556,5638,21.4,1.3422272177376904e-05
551010,144352867,2273FAUX_SN003,2019-01-01,,2049,1209,21.4,7.211032362924863e-05
62101,144352864,1064,2019-01-01,,363,214,280.4,0.07117347943647215
62102,144352864,2273FAUX_SN004,2019-01-01,,363,214,21.4,0.0009163238767733173
62103,144352864,2273FAUX_SN005,2019-01-01,,363,214,21.4,0.0009163238767733173
62104,144352864,2273FAUX_SN006,2019-01-01,,363,214,21.4,0.0009163238767733173
623501,144336955,2273FAUX_SN106,2019-01-01,,1337,789,21.4,0.00012155762327242803
6235011,143025495,2273FAUX_SN107,2019-01-01,,3363,1984,21.4,4.095569307310809e-05
6235012,143025495,2273FAUX_SN108,2019-01-01,,3363,1984,21.4,4.095569307310809e-05
6235013,143025495,2273FAUX_SN109,2019-01-01,,3363,1984,21.4,4.095569307310809e-05
6235014,143025495,2273FAUX_SN110,2019-01-01,,3363,1984,21.4,4.095569307310809e-05
62350151,144162149,2273FAUX_SN111,2019-01-01,,666,392,21.4,0.00032067255101631
62350152,144162149,2273FAUX_SN112,2019-01-01,,666,392,21.4,0.00032067255101631
62350161,144358225,2273FAUX_SN113,2019-01-01,,860,507,21.4,0.00021977238320425307
62350162,144358225,2273FAUX_SN114,2019-01-01,,860,507,21.4,0.00021977238320425307
62350163,144358225,2273FAUX_SN115,2019-01-01,,860,507,21.4,0.00021977238320425307
62350164,144358225,2273FAUX_SN116,2019-01-01,,860,507,21.4,0.00021977238320425307
63102I,144111498,2273FAUX_SN090,2019-01-01,,,,21.4,
63102J,144122279,2273FAUX_SN091,2019-01-01,,,,21.4,
6310_01,144336843,2273FAUX_SN117,2019-01-01,,4789,2890,21.4,2.783527612559844e-05
6310_02,144336843,2273FAUX_SN118,2019-01-01,,4789,2890,21.4,2.783527612559844e-05
63201,144816989,2273FAUX_SN058,2019-01-01,,819,483,21.4,0.0002356879869432893
6320111,13964180,2273FAUX_SN093,2019-01-01,,,,21.4,
6320112,13964179,2273FAUX_SN094,2019-01-01,,1404,828,21.4,0.00011425573862011706
6320113,143993626,2273FAUX_SN095,2019-01-01,,1404,828,21.4,0.00011425573862011706
6320114,144348197,2273FAUX_SN096,2019-01-01,,11123,6562,21.4,1.1468551590732012e-05
6320114,144348197,2273FAUX_SN096,2019-01-01,,666,392,21.4,0.00032067255101631
6320114,144348197,2273FAUX_SN096,2019-01-01,,666,392,21.4,0.00032067255101631
6320114,144348197,2273FAUX_SN096,2019-01-01,,666,392,21.4,0.00032067255101631
6320115,144348197,2273FAUX_SN097,2019-01-01,,1310,773,21.4,0.00012476397089200564
6320115,144348197,2273FAUX_SN097,2019-01-01,,1290,761,21.4,0.00012724735369479268
6320115,144348197,2273FAUX_SN097,2019-01-01,,666,392,21.4,0.00032067255101631
6320115,144348197,2273FAUX_SN097,2019-01-01,,666,392,21.4,0.00032067255101631
6320116,144111502,2273FAUX_SN098,2019-01-01,,9556,5638,21.4,1.3422272177376904e-05
6320116,144111502,2273FAUX_SN098,2019-01-01,,9556,5638,21.4,1.3422272177376904e-05
6320117,144111501,2273FAUX_SN099,2019-01-01,,9556,5638,21.4,1.3422272177376904e-05
632012,144111497,2273FAUX_SN080,2019-01-01,,9556,5638,21.4,1.3422272177376904e-05
632013,144111499,2273FAUX_SN081,2019-01-01,,6020,3551,21.4,2.17965000999798e-05
632014,144111498,2273FAUX_SN082,2019-01-01,,16627,9810,21.4,7.587992205126959e-06
632015,144122279,2273FAUX_SN083,2019-01-01,,2169,1279,21.4,6.744792444962622e-05
632016,144001919,2273FAUX_SN084,2019-01-01,,2169,1279,21.4,6.744792444962622e-05
632017,144828426,2273FAUX_SN085,2019-01-01,,11428,6743,21.4,1.1152550818349649e-05
6320171,144015704,2273FAUX_SN100,2019-01-01,,993,586,21.4,0.00017987963867427403
6320172,144181933,2273FAUX_SN101,2019-01-01,,3713,2191,21.4,3.6713294993939716e-05
6320173,143993627,2273FAUX_SN102,2019-01-01,,6148,3627,21.4,2.131541281663596e-05
632018,145032886,2273FAUX_SN078,2019-01-01,,819,483,21.4,0.0002356879869432893
632019,144111497,2273FAUX_SN086,2019-01-01,,,,21.4,
63201A,144111499,2273FAUX_SN087,2019-01-01,,,,21.4,
63201E,144828426,2273FAUX_SN088,2019-01-01,,,,21.4,
63201F,145032886,2273FAUX_SN079,2019-01-01,,,,21.4,
63201H,144111499,2273FAUX_SN089,2019-01-01,,,,21.4,
63201K,144001919,2273FAUX_SN092,2019-01-01,,,,21.4,
6323_01,144336831,2273FAUX_SN119,2019-01-01,,341,201,21.4,0.0010374123442800642
6323_02,144692575,2273FAUX_SN120,2019-01-01,,19112,11276,21.4,6.5822688938288465e-06
6323_021,144472751,2273FAUX_SN121,2019-01-01,,614,362,21.4,0.00036406447875619863
6325_01,144181874,2273FAUX_SN122,2019-01-01,,7800,5007,21.4,1.65880817946662e-05
6330_01,144181871,2273FAUX_SN123,2019-01-01,,4291,3451,21.4,3.134520449121769e-05
6330_02,144181873,2273FAUX_SN124,2019-01-01,,4291,3451,21.4,3.134520449121769e-05
6330_03,144181872,2273FAUX_SN125,2019-01-01,,4291,3451,21.4,3.134520449121769e-05
6330_04,144486066,2273FAUX_SN126,2019-01-01,,4290,2531,21.4,3.13531403006162e-05
64101,144828416,2273FAUX_SN021,2019-01-01,,669,395,21.4,0.00031846317248523937
64102,144828416,2273FAUX_SN022,2019-01-01,,669,395,21.4,0.00031846317248523937
64103,144828416,22118,2019-01-01,,669,395,0.0,0.00022600385358012565
64104,144828416,2273FAUX_SN023,2019-01-01,,669,395,21.4,0.00031846317248523937
64105,144828416,2273FAUX_SN024,2019-01-01,,669,395,21.4,0.00031846317248523937
64201,145062417,2273FAUX_SN127,2019-01-01,,409,241,21.4,0.0007299110355634131
6510_01,144035744,2273FAUX_SN134,2019-01-01,,4778,2819,21.4,2.7904316841964594e-05
6510_02,144692546,2273FAUX_SN135,2019-01-01,,3363,1984,21.4,4.095569307310809e-05
6510_03,144181869,2273FAUX_SN136,2019-01-01,,3284,1937,21.4,4.2051759190364635e-05
6510_04,144181869,2273FAUX_SN137,2019-01-01,,3284,1937,21.4,4.2051759190364635e-05
6510_05,144181869,2273FAUX_SN138,2019-01-01,,3284,1937,21.4,4.2051759190364635e-05
6510_06,144181869,2273FAUX_SN139,2019-01-01,,3284,1937,21.4,4.2051759190364635e-05
6510_07,144035746,2273FAUX_SN140,2019-01-01,,3284,1937,21.4,4.2051759190364635e-05
6510_08,144035745,2273FAUX_SN141,2019-01-01,,3284,1937,21.4,4.2051759190364635e-05
6510_09,144443878,M1015,2019-01-01,,3284,1937,876.0,0.0005050242768771529
6520_01,144035747,2273FAUX_SN142,2019-01-01,,2049,1209,21.4,7.211032362924863e-05
6710_01,145426398,2273FAUX_SN185,2019-01-01,,9662,5700,21.4,1.3269375436275599e-05
6710_02,145426398,2273FAUX_SN186,2019-01-01,,9662,5700,21.4,1.3269375436275599e-05
6720_01,145426398,2273FAUX_SN187,2019-01-01,,9662,5700,21.4,1.3269375436275599e-05
6730_01,144023728,2273FAUX_SN025,2019-01-01,,3879,2289,21.4,3.499293581771257e-05
6730_02,144023728,2273FAUX_SN026,2019-01-01,,1242,732,21.4,0.00013361913430970374
6730_03,144023728,2273FAUX_SN027,2019-01-01,,3879,2289,21.4,3.499293581771257e-05
6730_04,144023729,385,2019-01-01,,1911,1127,247.9,0.0002641637943000541
7201,144197599,2273FAUX_SN028,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720111,144246217,2273FAUX_SN030,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720111,144246217,2273FAUX_SN030,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720112,143950543,2273FAUX_SN031,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720112,143950543,2273FAUX_SN031,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720113,144246218,2273FAUX_SN032,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720113,144246218,2273FAUX_SN032,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720114,144246219,2273FAUX_SN033,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720114,144246219,2273FAUX_SN033,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720115,144246220,2273FAUX_SN034,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720115,144246220,2273FAUX_SN034,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720121,145041514,2273FAUX_SN035,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720121,145041514,2273FAUX_SN035,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720122,143950427,2273FAUX_SN036,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720122,143950427,2273FAUX_SN036,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720123,144122280,2273FAUX_SN037,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720123,144122280,2273FAUX_SN037,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720124,143950429,2273FAUX_SN038,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720124,143950429,2273FAUX_SN038,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720131,143957118,2273FAUX_SN039,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720131,143957118,2273FAUX_SN039,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720141,144122272,2273FAUX_SN040,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720141,144122272,2273FAUX_SN040,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720142,144215606,2273FAUX_SN041,2019-01-01,,1404,828,21.4,0.00011425573862011706
720142,144215606,2273FAUX_SN041,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720142,144215606,2273FAUX_SN041,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720151,143957119,2273FAUX_SN042,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720151,143957119,2273FAUX_SN042,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
7202,144197599,2273FAUX_SN029,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
720211,144246217,2273FAUX_SN043,2019-01-01,,,,21.4,
720212,143950543,2273FAUX_SN044,2019-01-01,,,,21.4,
720213,144246218,2273FAUX_SN045,2019-01-01,,,,21.4,
720214,144246219,2273FAUX_SN046,2019-01-01,,,,21.4,
720215,144246220,2273FAUX_SN047,2019-01-01,,,,21.4,
720221,145041514,2273FAUX_SN048,2019-01-01,,,,21.4,
720222,143950427,2273FAUX_SN049,2019-01-01,,,,21.4,
720223,144122280,2273FAUX_SN050,2019-01-01,,,,21.4,
720224,143950429,2273FAUX_SN051,2019-01-01,,,,21.4,
720231,143957118,2273FAUX_SN052,2019-01-01,,,,21.4,
720241,144122272,2273FAUX_SN053,2019-01-01,,,,21.4,
720242,144215606,2273FAUX_SN054,2019-01-01,,,,21.4,
720251,143957119,2273FAUX_SN055,2019-01-01,,,,21.4,
7320,145540323,540GA,2019-01-01,,2866,1691,86.5,6.267633443113318e-05
7321,145540323,524GA,2019-01-01,,1242,732,256.6,0.000847822679410748
94096,145201153,2273FAUX_SN128,2019-01-01,,860,507,21.4,0.00021977238320425307
94097,144121994,2273FAUX_SN129,2019-01-01,,860,507,21.4,0.00021977238320425307
94098,144121994,2273FAUX_SN130,2019-01-01,,860,507,21.4,0.00021977238320425307
94099,144121994,2273FAUX_SN131,2019-01-01,,860,507,21.4,0.00021977238320425307
94100,144121994,2273FAUX_SN132,2019-01-01,,860,507,21.4,0.00021977238320425307
94101,144121994,2273FAUX_SN133,2019-01-01,,860,507,21.4,0.00021977238320425307
94662,145146678,2273FAUX_SN171,2019-01-01,,2866,1691,21.4,4.898055211055574e-05
94662,145146678,2273FAUX_SN171,2019-01-01,,1242,732,21.4,0.00013361913430970374
94664,143950442,2273FAUX_SN172,2019-01-01,,1242,732,21.4,0.00013361913430970374
94664,143950442,2273FAUX_SN172,2019-01-01,,1242,732,21.4,0.00013361913430970374
94664,143950442,2273FAUX_SN172,2019-01-01,,1242,732,21.4,0.00013361913430970374
94664,143950442,2273FAUX_SN172,2019-01-01,,1242,732,21.4,0.00013361913430970374
94664,143950442,2273FAUX_SN172,2019-01-01,,1242,732,21.4,0.00013361913430970374
94664,143950442,2273FAUX_SN172,2019-01-01,,1242,732,21.4,0.00013361913430970374
94670,144181968,2273FAUX_SN173,2019-01-01,,1242,732,21.4,0.00013361913430970374
94670,144181968,2273FAUX_SN173,2019-01-01,,1242,732,21.4,0.00013361913430970374
94672,143950439,2273FAUX_SN174,2019-01-01,,1242,732,21.4,0.00013361913430970374
94672,143950439,2273FAUX_SN174,2019-01-01,,1242,732,21.4,0.00013361913430970374
94674,145450439,2273FAUX_SN175,2019-01-01,,1242,732,21.4,0.00013361913430970374
94674,145450439,2273FAUX_SN175,2019-01-01,,1242,732,21.4,0.00013361913430970374
94676,144181966,2273FAUX_SN176,2019-01-01,,1242,732,21.4,0.00013361913430970374
94676,144181966,2273FAUX_SN176,2019-01-01,,1242,732,21.4,0.00013361913430970374
94676,144181966,2273FAUX_SN176,2019-01-01,,1242,732,21.4,0.00013361913430970374
94678,145539533,2273FAUX_SN177,2019-01-01,,1242,732,21.4,0.00013361913430970374
94678,145539533,2273FAUX_SN177,2019-01-01,,1242,732,21.4,0.00013361913430970374
94680,145524077,2273FAUX_SN178,2019-01-01,,1242,732,21.4,0.00013361913430970374
94680,145524077,2273FAUX_SN178,2019-01-01,,1242,732,21.4,0.00013361913430970374
94682,144723030,2273FAUX_SN179,2019-01-01,,1242,732,21.4,0.00013361913430970374
94682,144723030,2273FAUX_SN179,2019-01-01,,1242,732,21.4,0.00013361913430970374
94684,144181965,2273FAUX_SN180,2019-01-01,,1242,732,21.4,0.00013361913430970374
94684,144181965,2273FAUX_SN180,2019-01-01,,1242,732,21.4,0.00013361913430970374
94684,144181965,2273FAUX_SN180,2019-01-01,,1242,732,21.4,0.00013361913430970374
94686,144181967,2273FAUX_SN181,2019-01-01,,1242,732,21.4,0.00013361913430970374
94686,144181967,2273FAUX_SN181,2019-01-01,,1242,732,21.4,0.00013361913430970374
