,part number,serial number,start,end,MTBF,MTBUR,value,defect_20h
0,HM/COUGAR/AS532UL,000G2273,2019-01-01,,,,21.4,
22301,145754555,2273FAUX_SN157,2019-01-01,,484,285,21.4,0.0005397206032531909
223011,144569375,2273FAUX_SN159,2019-01-01,,5609,3309,21.4,2.349920219724133e-05
223012,144569375,2273FAUX_SN160,2019-01-01,,5609,3309,21.4,2.349920219724133e-05
223013,144569375,2273FAUX_SN161,2019-01-01,,5609,3309,21.4,2.349920219724133e-05
223014,144569375,2273FAUX_SN162,2019-01-01,,5609,3309,21.4,2.349920219724133e-05
22304,144697141,2273FAUX_SN158,2019-01-01,,12883,7601,21.4,9.856826777399075e-06
223041,144378713,2273FAUX_SN163,2019-01-01,,860,507,21.4,0.00021977238320425307
2250361,145370839,2273FAUX_SN164,2019-01-01,,6708,3957,21.4,1.9438043970698704e-05
2250362,145426396,2273FAUX_SN165,2019-01-01,,4294,2533,21.4,3.1321421068930544e-05
2250363,145426395,2273FAUX_SN166,2019-01-01,,4294,2533,21.4,3.1321421068930544e-05
2250364,145426409,2273FAUX_SN167,2019-01-01,,3143,1854,21.4,4.416023439129946e-05
2311-01,145426410,2273FAUX_SN007,2019-01-01,,1377,812,21.4,0.00011709265762360754
2311-02,144727335,2273FAUX_SN008,2019-01-01,,1911,1127,21.4,7.832536311397353e-05
2341-01,144315362,2273FAUX_SN168,2019-01-01,,2389,1409,21.4,6.028761041038111e-05
2341-02,144315362,2273FAUX_SN169,2019-01-01,,2389,1409,21.4,6.028761041038111e-05
2341-03,144315362,221,2019-01-01,,2389,1409,157.8,0.00011066188883496197
2341-04,144315362,2273FAUX_SN170,2019-01-01,,2389,1409,21.4,6.028761041038111e-05
2341-05,145754554,291,2019-01-01,,649,383,20.1,0.0003267824312663259
2352-01,145645296,2273FAUX_SN018,2019-01-01,,1001,590,21.4,0.00017792076357281417
2352-02,195635296,2273FAUX_SN019,2019-01-01,,1049,619,21.4,0.0001669800429605628
2352-03,195635297,2273FAUX_SN020,2019-01-01,,1049,619,21.4,0.0001669800429605628
242010,144218101,2273FAUX_SN143,2019-01-01,,2459,1451,21.4,5.8315053380109116e-05
242011,144218101,2273FAUX_SN144,2019-01-01,,2459,1451,21.4,5.8315053380109116e-05
243010,144437160,2273FAUX_SN145,2019-01-01,,,,21.4,
243011,144001897,2273FAUX_SN146,2019-01-01,,928,547,21.4,0.00019747341193371293
243012,144001897,2273FAUX_SN147,2019-01-01,,928,547,21.4,0.00019747341193371293
243013,144437160,2273FAUX_SN148,2019-01-01,,355,209,21.4,0.0009573855110486806
243110,145448226,2138,2019-01-01,,247,146,29.6,0.002853484743771173
2510-01,144415152,2273FAUX_SN059,2019-01-01,,11123,6562,21.4,1.1468551590732012e-05
2510-02,144415152,2273FAUX_SN060,2019-01-01,,11123,6562,21.4,1.1468551590732012e-05
2510-03,145670516,2273FAUX_SN061,2019-01-01,,19112,11276,21.4,6.5822688938288465e-06
2564-01,145062523,2273FAUX_SN182,2019-01-01,,4433,2616,21.4,3.025756995728157e-05
2564-02,145062525,2273FAUX_SN183,2019-01-01,,2102,1240,21.4,6.997487875798347e-05
2564-03,145062524,2273FAUX_SN184,2019-01-01,,2102,1240,21.4,6.997487875798347e-05
2566-01,144809677,2273FAUX_SN062,2019-01-01,,,,21.4,
2566-02,145362699,2273FAUX_SN063,2019-01-01,,888,524,21.4,0.00021003379889777962
2621-01,143993630,2273FAUX_SN103,2019-01-01,,9603,5666,21.4,1.3354046068669856e-05
2621-02,143993630,2273FAUX_SN104,2019-01-01,,10033,5919,21.4,1.276059916954786e-05
2622-01,999839550,102511,2019-01-01,,9603,5666,86.5,1.4391321766560328e-05
2622-02,999839550,2273FAUX_SN105,2019-01-01,,9603,5666,21.4,1.3354046068669856e-05
2820-01,144181954,2273FAUX_SN064,2019-01-01,,4051,2390,21.4,3.33720087454803e-05
