,part number,serial number,start,end,MTBF,MTBUR,value,defect_20h
0,HM/COUGAR/AS532UL,2375,2019-01-01,,,,1031.9,
22301,145754555,771,2019-01-01,,484,285,351.2,0.046634116172945106
223012,144569375,850,2019-01-01,,5609,3309,27.3,2.377365648364993e-05
223041,144378713,822,2019-01-01,,860,507,35.3,0.0002607676524495339
2250361,145370839,585,2019-01-01,,6708,3957,898.61,7.503720177270967e-05
2311-02,144727335,F185,2019-01-01,,1911,1127,41.4,8.775069556338222e-05
2341-01,144315362,581,2019-01-01,,2389,1409,1281.5,0.00415398557492469
2341-03,144315362,526,2019-01-01,,2389,1409,121.2,9.435503801963341e-05
242010,144218101,900,2019-01-01,,2459,1451,184.9,0.00011791749320966272
243011,144001897,1006,2019-01-01,,928,547,290.1,0.002750700484947688
2621-01,143993630,772,2019-01-01,,9603,5666,65.4,1.4047373483205838e-05
2820-01,144181954,22590,2019-01-01,,4051,2390,87.3,3.986513885384513e-05
2820-01,144181954,22590,2019-01-01,,4051,2390,87.3,3.986513885384513e-05
291011,144820339,712,2019-01-01,,683,403,556.1,0.03991411531436878
291020,144472752,735,2019-01-01,,742,438,65.4,0.0005007468146043248
2920101,144417072,1282,2019-01-01,,614,362,1409.0,3.5764751961098185e-06
2920101,144417072,1282,2019-01-01,,614,362,1409.0,3.5764751961098185e-06
2920101,144417072,1282,2019-01-01,,614,362,1409.0,3.5764751961098185e-06
2920101,144417072,1282,2019-01-01,,614,362,1409.0,3.5764751961098185e-06
302000-01,144336890,699,2019-01-01,,2862,1689,121.2,7.146091569620872e-05
302000-02,144336890,928,2019-01-01,,2862,1689,712.31,0.0005027492412802426
306001-01,144229459,1293,2019-01-01,,2866,1691,1191.1,0.001715966480772546
306002-01,144401787,TB2088,2019-01-01,,2475,1460,1168.0,0.002817868299832771
306002-03,144401786,TB2715,2019-01-01,,7167,4228,98.9,2.04187006400125e-05
306003-02,144401785,TB5035,2019-01-01,,2475,1460,316.6,0.00019767709235346542
306003-03,144401785,TB5036,2019-01-01,,2475,1460,281.1,0.00017196516142370388
306003-04,144401785,TB5034,2019-01-01,,2475,1460,454.6,0.00033248446025363476
306004,144723502,1126,2019-01-01,,1911,1127,11.4,7.396566510925462e-05
321201-01,144023746,868,2019-01-01,,1051,620,1269.66,0.023234675268864025
321201-02,144023747,731,2019-01-01,,1051,620,99605.8,0.0
322200-02,144181901,877,2019-01-01,,1653,975,4159.3,4.862587599241408e-08
324001-01,144001893,11579,2019-01-01,,248,146,689.0,1.3334356396832447e-09
334300,144056286,922,2019-01-01,,2866,1691,281.7,0.0001268395940624556
334300,144056286,922,2019-01-01,,4778,2819,281.7,5.0067316038071574e-05
344200-01,10092872,6451,2019-01-01,,9556,5638,1254.8,5.108357566385724e-05
344200-02,144695406,700,2019-01-01,,668,394,2211.4,4.107825191113079e-15
345100-01,144628053,782,2019-01-01,,649,383,99605.8,0.0
346000-01,145662541,0950M11068,2019-01-01,,9556,5638,1254.8,5.108357566385724e-05
391213-11,145362748,1388,2019-01-01,,920,542,284.0,0.0026966185769272677
39121303,145436170,1200,2019-01-01,,817,482,2111.3,2.6815743237040834e-08
39121304,145436170,575,2019-01-01,,817,482,507.8,0.018732003394257624
475001,145754546,1240,2019-01-01,,955,563,329.2,0.003371049860724229
475002,145754547,611,2019-01-01,,955,563,871.51,0.032385978790563916
62103,144352864,1249,2019-01-01,,363,214,162.6,0.019765949772462377
623501,144336955,563,2019-01-01,,1337,789,0.0,0.00010206560265718645
62350152,144162149,624,2019-01-01,,666,392,162.6,0.0023352395664741343
62350162,144358225,663,2019-01-01,,860,507,144.0,0.0008988668806179656
6310_02,144336843,591,2019-01-01,,4789,2890,158.4,3.7992607490211494e-05
6320116,144111502,935,2019-01-01,,9556,5638,2160.9,0.0001211947764010457
6320116,144111502,935,2019-01-01,,9556,5638,2160.9,0.0001211947764010457
6320171,144015704,699,2019-01-01,,993,586,121.2,0.0005000778516285886
6330_01,144181871,1406,2019-01-01,,4291,3451,614.7,0.00012943050472824513
6330_04,144486066,507,2019-01-01,,4290,2531,310.2,6.421813694806877e-05
64101,144828416,525,2019-01-01,,669,395,115.1,0.0012506544570990985
64102,144828416,898,2019-01-01,,669,395,99605.8,0.0
64201,145062417,881,2019-01-01,,409,241,134.0,0.007890607095674296
6510_01,144035744,1214,2019-01-01,,4778,2819,571.0,9.223985581446881e-05
6510_03,144181869,1013,2019-01-01,,3284,1937,373.0,0.00012808204962638792
6510_09,144443878,1152,2019-01-01,,3284,1937,322.4,0.00010997245675209433
6710_02,145426398,715,2019-01-01,,9662,5700,121.2,1.4868378636900825e-05
6730_01,144023728,1206,2019-01-01,,3879,2289,123.5,4.65825919442886e-05
720123,144122280,673,2019-01-01,,2866,1691,147.3,7.849867077991401e-05
720123,144122280,673,2019-01-01,,2866,1691,147.3,7.849867077991401e-05
720142,144215606,1470,2019-01-01,,1404,828,683.0,0.0055139714552935315
720142,144215606,1470,2019-01-01,,2866,1691,683.0,0.00045956177614603355
720142,144215606,1470,2019-01-01,,2866,1691,683.0,0.00045956177614603355
720151,143957119,1095,2019-01-01,,2866,1691,78.5,6.082455467415482e-05
720151,143957119,1095,2019-01-01,,2866,1691,78.5,6.082455467415482e-05
7202,144197599,322,2019-01-01,,2866,1691,965.0,0.000996845916938216
720212,143950543,1348,2019-01-01,,,,233.3,
720213,144246218,1474,2019-01-01,,,,25.7,
720214,144246219,870,2019-01-01,,,,274.2,
720215,144246220,975,2019-01-01,,,,4535.1,
720223,144122280,1221,2019-01-01,,,,2384.8,
720241,144122272,1387,2019-01-01,,,,2.7,
94098,144121994,559,2019-01-01,,860,507,835.2,0.03705193880844449
94099,144121994,723,2019-01-01,,860,507,986.5,0.032122784891352785
94662,145146678,754,2019-01-01,,2866,1691,100650.67,0.0
94662,145146678,754,2019-01-01,,1242,732,100650.67,0.0
94670,144181968,881,2019-01-01,,1242,732,134.0,0.00034010500508901975
94670,144181968,881,2019-01-01,,1242,732,134.0,0.00034010500508901975
94672,143950439,1453,2019-01-01,,1242,732,49.7,0.00017044154555395652
94672,143950439,1453,2019-01-01,,1242,732,49.7,0.00017044154555395652
94676,144181966,1434,2019-01-01,,1242,732,371.7,0.0018111370513609892
94676,144181966,1434,2019-01-01,,1242,732,371.7,0.0018111370513609892
94676,144181966,1434,2019-01-01,,1242,732,371.7,0.0018111370513609892
94678,145539533,619,2019-01-01,,1242,732,507.8,0.003929032214769479
94678,145539533,619,2019-01-01,,1242,732,507.8,0.003929032214769479
94684,144181965,922,2019-01-01,,1242,732,281.7,0.0010086105817317947
94684,144181965,922,2019-01-01,,1242,732,281.7,0.0010086105817317947
94684,144181965,922,2019-01-01,,1242,732,281.7,0.0010086105817317947
